28,91
16,47
83,72
52,20
8,66
44,46
76,84
58,20
13,65
69,48
55,17
17,20
53,26
38,59
16,16
14,58
47,40
73,24
14,96
19,72
11,30
42,49
78,13
25,59
79,34
47,83
63,57
14,50
96,93
5,48
44,43
70,68
38,10
5,54
40,63
13,68
15,20
77,4
15,5
33,95
31,12
2,3
41,91
45,20
20,31
79,25
96,29
60,58
65,81
14,4
83,33
13,17
56,98
25,82
59,24
28,8
81,35
34,29
83,21
83,61
47,56
46,56
98,11
7,4
32,36
78,75
16,55
82,1
23,18
12,97
8,20
38,85
31,8
65,52
25,81
5,49
27,43
37,88
74,80
31,14
33,96
43,23
60,32
47,17
87,81
99,41
86,82
22,63
94,7
76,75
32,20
76,29
60,26
80,64
33,31
4,89
92,97
44,49
17,1
7,14
